"VAR","Variable","UNIT","Measure","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","JPN","Japan","2018","2018",4158.8,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","JPN","Japan","2019","2019",3652,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","JPN","Japan","2020","2020",2928.5,"P","Provisional value"
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","KOR","Korea","2016","2016",6530,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","KOR","Korea","2017","2017",6275,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","KOR","Korea","2018","2018",6256,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","KOR","Korea","2019","2019",6608,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","LUX","Luxembourg","2016","2016",2059,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","LUX","Luxembourg","2017","2017",2131,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","LUX","Luxembourg","2018","2018",2001,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","MEX","Mexico","2016","2016",886.5,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","MEX","Mexico","2017","2017",806.7,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","MEX","Mexico","2018","2018",781.6,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","MEX","Mexico","2019","2019",757.1,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","NLD","Netherlands","2016","2016",1213,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","NLD","Netherlands","2017","2017",1197,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","NLD","Netherlands","2018","2018",1221,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","NZL","New Zealand","2016","2016",8019,"D","Difference in methodology"
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","NZL","New Zealand","2017","2017",8583,"D","Difference in methodology"
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","NZL","New Zealand","2018","2018",9082,"D","Difference in methodology"
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","NOR","Norway","2016","2016",1058,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","NOR","Norway","2017","2017",997,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","NOR","Norway","2018","2018",930,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","NOR","Norway","2019","2019",815,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","POL","Poland","2016","2016",1061,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","POL","Poland","2017","2017",1027,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","POL","Poland","2018","2018",973,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","POL","Poland","2019","2019",924,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","PRT","Portugal","2016","2016",3981,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","PRT","Portugal","2017","2017",4261,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","PRT","Portugal","2018","2018",4409,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","SVK","Slovak Republic","2016","2016",1278,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","SVK","Slovak Republic","2017","2017",1266,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","SVK","Slovak Republic","2018","2018",1269,"P","Provisional value"
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","SVK","Slovak Republic","2019","2019",1204,"P","Provisional value"
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","SVK","Slovak Republic","2020","2020",985,"P","Provisional value"
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","ESP","Spain","2016","2016",3022.4,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","ESP","Spain","2017","2017",2990.5,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","ESP","Spain","2018","2018",2966.2,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","ESP","Spain","2019","2019",2958.7,"P","Provisional value"
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","SWE","Sweden","2016","2016",1894.2,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","SWE","Sweden","2017","2017",1971,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","SWE","Sweden","2018","2018",1842.8,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","SWE","Sweden","2019","2019",1738.5,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","CHE","Switzerland","2016","2016",2555,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","CHE","Switzerland","2017","2017",2534,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","CHE","Switzerland","2018","2018",2564,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","CHE","Switzerland","2019","2019",2482,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","TUR","Turkey","2016","2016",3806,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","TUR","Turkey","2017","2017",3717,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","TUR","Turkey","2018","2018",3744,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","TUR","Turkey","2019","2019",3406,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","GBR","United Kingdom","2016","2016",2881,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","GBR","United Kingdom","2017","2017",2700,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","GBR","United Kingdom","2018","2018",2520,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","USA","United States","2016","2016",9501,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","USA","United States","2017","2017",8463,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","USA","United States","2018","2018",8290,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","CHL","Chile","2016","2016",3494,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","CHL","Chile","2017","2017",3383.7,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","CHL","Chile","2018","2018",3123,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","CHL","Chile","2019","2019",3022.4,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","EST","Estonia","2016","2016",1399,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","EST","Estonia","2017","2017",1317,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","EST","Estonia","2018","2018",1390,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","EST","Estonia","2019","2019",1311,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","EST","Estonia","2020","2020",1180,"P","Provisional value"
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","ISR","Israel","2016","2016",2787,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","ISR","Israel","2017","2017",2826,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","ISR","Israel","2018","2018",2556,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","ISR","Israel","2019","2019",2500,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","ISR","Israel","2020","2020",1944,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","SVN","Slovenia","2016","2016",4096.4,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","SVN","Slovenia","2017","2017",3824,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","SVN","Slovenia","2018","2018",3713.9,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","SVN","Slovenia","2019","2019",3623.2,,
"DISASRAB","Self-reported absence from work due to illness","JOUPANNB","Number of days lost per person per year","AUT","Austria","2019","2019",17.1,,
"DISACPAB","Compensated absence from work due to illness","JOUPANNB","Number of days lost per person per year","AUT","Austria","2016","2016",12.5,,
"DISACPAB","Compensated absence from work due to illness","JOUPANNB","Number of days lost per person per year","AUT","Austria","2017","2017",12.5,,
"DISACPAB","Compensated absence from work due to illness","JOUPANNB","Number of days lost per person per year","AUT","Austria","2018","2018",13.1,,
"DISACPAB","Compensated absence from work due to illness","JOUPANNB","Number of days lost per person per year","AUT","Austria","2019","2019",13.3,,
"DISASRAB","Self-reported absence from work due to illness","JOUPANNB","Number of days lost per person per year","BEL","Belgium","2018","2018",12.3,,
"DISACPAB","Compensated absence from work due to illness","JOUPANNB","Number of days lost per person per year","BEL","Belgium","2016","2016",13.4,"E","Estimated value"
"DISACPAB","Compensated absence from work due to illness","JOUPANNB","Number of days lost per person per year","BEL","Belgium","2017","2017",13.7,"E","Estimated value"
"DISACPAB","Compensated absence from work due to illness","JOUPANNB","Number of days lost per person per year","BEL","Belgium","2018","2018",14.2,"E","Estimated value"
"DISACPAB","Compensated absence from work due to illness","JOUPANNB","Number of days lost per person per year","BEL","Belgium","2019","2019",14.7,"E","Estimated value"
"DISASRAB","Self-reported absence from work due to illness","JOUPANNB","Number of days lost per person per year","CAN","Canada","2016","2016",7.8,,
"DISASRAB","Self-reported absence from work due to illness","JOUPANNB","Number of days lost per person per year","CAN","Canada","2017","2017",8,,
"DISASRAB","Self-reported absence from work due to illness","JOUPANNB","Number of days lost per person per year","CAN","Canada","2018","2018",8.1,,
"DISASRAB","Self-reported absence from work due to illness","JOUPANNB","Number of days lost per person per year","CAN","Canada","2019","2019",8.5,,
"DISASRAB","Self-reported absence from work due to illness","JOUPANNB","Number of days lost per person per year","CZE","Czech Republic","2019","2019",7.2,,
"DISACPAB","Compensated absence from work due to illness","JOUPANNB","Number of days lost per person per year","CZE","Czech Republic","2016","2016",15.4,,
"DISACPAB","Compensated absence from work due to illness","JOUPANNB","Number of days lost per person per year","CZE","Czech Republic","2017","2017",15.6,,
"DISACPAB","Compensated absence from work due to illness","JOUPANNB","Number of days lost per person per year","CZE","Czech Republic","2018","2018",16.3,,
"DISACPAB","Compensated absence from work due to illness","JOUPANNB","Number of days lost per person per year","CZE","Czech Republic","2019","2019",17.2,,
"DISASRAB","Self-reported absence from work due to illness","JOUPANNB","Number of days lost per person per year","DNK","Denmark","2016","2016",9,,
"DISASRAB","Self-reported absence from work due to illness","JOUPANNB","Number of days lost per person per year","DNK","Denmark","2018","2018",8.2,,
"DISACPAB","Compensated absence from work due to illness","JOUPANNB","Number of days lost per person per year","DNK","Denmark","2016","2016",8.4,,
"DISACPAB","Compensated absence from work due to illness","JOUPANNB","Number of days lost per person per year","DNK","Denmark","2017","2017",8.3,,
"DISACPAB","Compensated absence from work due to illness","JOUPANNB","Number of days lost per person per year","DNK","Denmark","2018","2018",8.5,,
"DISASRAB","Self-reported absence from work due to illness","JOUPANNB","Number of days lost per person per year","FIN","Finland","2016","2016",9.3,,
"DISASRAB","Self-reported absence from work due to illness","JOUPANNB","Number of days lost per person per year","FIN","Finland","2017","2017",9,,
"DISASRAB","Self-reported absence from work due to illness","JOUPANNB","Number of days lost per person per year","FIN","Finland","2018","2018",9.7,,
"DISASRAB","Self-reported absence from work due to illness","JOUPANNB","Number of days lost per person per year","FIN","Finland","2019","2019",9.3,,
"DISACPAB","Compensated absence from work due to illness","JOUPANNB","Number of days lost per person per year","FRA","France","2016","2016",8.4,,
"DISACPAB","Compensated absence from work due to illness","JOUPANNB","Number of days lost per person per year","FRA","France","2017","2017",8.6,,
"DISACPAB","Compensated absence from work due to illness","JOUPANNB","Number of days lost per person per year","FRA","France","2018","2018",8.8,,
"DISACPAB","Compensated absence from work due to illness","JOUPANNB","Number of days lost per person per year","FRA","France","2019","2019",8.9,,
"DISACPAB","Compensated absence from work due to illness","JOUPANNB","Number of days lost per person per year","DEU","Germany","2016","2016",18.6,,
"DISACPAB","Compensated absence from work due to illness","JOUPANNB","Number of days lost per person per year","DEU","Germany","2017","2017",18.3,,
"DISACPAB","Compensated absence from work due to illness","JOUPANNB","Number of days lost per person per year","DEU","Germany","2018","2018",20,,
"DISACPAB","Compensated absence from work due to illness","JOUPANNB","Number of days lost per person per year","DEU","Germany","2019","2019",19.9,,
"DISASRAB","Self-reported absence from work due to illness","JOUPANNB","Number of days lost per person per year","GRC","Greece","2019","2019",13.7,,
"DISASRAB","Self-reported absence from work due to illness","JOUPANNB","Number of days lost per person per year","HUN","Hungary","2019","2019",5,,
"DISACPAB","Compensated absence from work due to illness","JOUPANNB","Number of days lost per person per year","HUN","Hungary","2016","2016",8.4,,
"DISACPAB","Compensated absence from work due to illness","JOUPANNB","Number of days lost per person per year","HUN","Hungary","2017","2017",8.6,,
"DISACPAB","Compensated absence from work due to illness","JOUPANNB","Number of days lost per person per year","HUN","Hungary","2018","2018",8.8,,
"DISACPAB","Compensated absence from work due to illness","JOUPANNB","Number of days lost per person per year","HUN","Hungary","2019","2019",8.8,,
"DISACPAB","Compensated absence from work due to illness","JOUPANNB","Number of days lost per person per year","IRL","Ireland","2016","2016",10.4,,
"DISACPAB","Compensated absence from work due to illness","JOUPANNB","Number of days lost per person per year","IRL","Ireland","2017","2017",9.9,,
"DISACPAB","Compensated absence from work due to illness","JOUPANNB","Number of days lost per person per year","IRL","Ireland","2018","2018",9.4,,
"DISACPAB","Compensated absence from work due to illness","JOUPANNB","Number of days lost per person per year","IRL","Ireland","2019","2019",9.2,,
"DISACPAB","Compensated absence from work due to illness","JOUPANNB","Number of days lost per person per year","IRL","Ireland","2020","2020",8.3,,
"DISASRAB","Self-reported absence from work due to illness","JOUPANNB","Number of days lost per person per year","KOR","Korea","2016","2016",2.7,,
"DISASRAB","Self-reported absence from work due to illness","JOUPANNB","Number of days lost per person per year","KOR","Korea","2017","2017",1.9,,
"DISASRAB","Self-reported absence from work due to illness","JOUPANNB","Number of days lost per person per year","KOR","Korea","2018","2018",2,,
"DISASRAB","Self-reported absence from work due to illness","JOUPANNB","Number of days lost per person per year","KOR","Korea","2019","2019",1.2,,
"DISACPAB","Compensated absence from work due to illness","JOUPANNB","Number of days lost per person per year","LUX","Luxembourg","2016","2016",11.8,"D","Difference in methodology"
"DISACPAB","Compensated absence from work due to illness","JOUPANNB","Number of days lost per person per year","LUX","Luxembourg","2017","2017",11.4,"D","Difference in methodology"
"DISACPAB","Compensated absence from work due to illness","JOUPANNB","Number of days lost per person per year","LUX","Luxembourg","2018","2018",12.1,"D","Difference in methodology"
"DISACPAB","Compensated absence from work due to illness","JOUPANNB","Number of days lost per person per year","LUX","Luxembourg","2019","2019",12.4,"D","Difference in methodology"
"DISACPAB","Compensated absence from work due to illness","JOUPANNB","Number of days lost per person per year","MEX","Mexico","2016","2016",27.9,"E","Estimated value"
"DISACPAB","Compensated absence from work due to illness","JOUPANNB","Number of days lost per person per year","NLD","Netherlands","2016","2016",10,,
"DISACPAB","Compensated absence from work due to illness","JOUPANNB","Number of days lost per person per year","NLD","Netherlands","2017","2017",10,,
"DISACPAB","Compensated absence from work due to illness","JOUPANNB","Number of days lost per person per year","NLD","Netherlands","2018","2018",11,,
"DISACPAB","Compensated absence from work due to illness","JOUPANNB","Number of days lost per person per year","NLD","Netherlands","2019","2019",11,,
"DISACPAB","Compensated absence from work due to illness","JOUPANNB","Number of days lost per person per year","NLD","Netherlands","2020","2020",12,,
"DISACPAB","Compensated absence from work due to illness","JOUPANNB","Number of days lost per person per year","NOR","Norway","2016","2016",15.9,,
"DISACPAB","Compensated absence from work due to illness","JOUPANNB","Number of days lost per person per year","NOR","Norway","2017","2017",16,,
"DISACPAB","Compensated absence from work due to illness","JOUPANNB","Number of days lost per person per year","NOR","Norway","2018","2018",15.8,,
"DISACPAB","Compensated absence from work due to illness","JOUPANNB","Number of days lost per person per year","NOR","Norway","2019","2019",16,,
"DISACPAB","Compensated absence from work due to illness","JOUPANNB","Number of days lost per person per year","NOR","Norway","2020","2020",16.8,,
"DISACPAB","Compensated absence from work due to illness","JOUPANNB","Number of days lost per person per year","PRT","Portugal","2016","2016",7.2,,
"DISACPAB","Compensated absence from work due to illness","JOUPANNB","Number of days lost per person per year","PRT","Portugal","2017","2017",7.6,,
"DISACPAB","Compensated absence from work due to illness","JOUPANNB","Number of days lost per person per year","SVK","Slovak Republic","2016","2016",12.1,,
"DISACPAB","Compensated absence from work due to illness","JOUPANNB","Number of days lost per person per year","SVK","Slovak Republic","2017","2017",12.1,,
"DISACPAB","Compensated absence from work due to illness","JOUPANNB","Number of days lost per person per year","SVK","Slovak Republic","2018","2018",14.2,,
"DISACPAB","Compensated absence from work due to illness","JOUPANNB","Number of days lost per person per year","SVK","Slovak Republic","2019","2019",14.1,,
"DISACPAB","Compensated absence from work due to illness","JOUPANNB","Number of days lost per person per year","SVK","Slovak Republic","2020","2020",16.9,,
"DISASRAB","Self-reported absence from work due to illness","JOUPANNB","Number of days lost per person per year","ESP","Spain","2020","2020",9.7,,
"DISACPAB","Compensated absence from work due to illness","JOUPANNB","Number of days lost per person per year","ESP","Spain","2016","2016",11.1,,
"DISACPAB","Compensated absence from work due to illness","JOUPANNB","Number of days lost per person per year","ESP","Spain","2017","2017",11.6,,
"DISACPAB","Compensated absence from work due to illness","JOUPANNB","Number of days lost per person per year","ESP","Spain","2018","2018",12.3,,
"DISACPAB","Compensated absence from work due to illness","JOUPANNB","Number of days lost per person per year","ESP","Spain","2019","2019",13.5,,
"DISACPAB","Compensated absence from work due to illness","JOUPANNB","Number of days lost per person per year","SWE","Sweden","2016","2016",12.5,,
"DISACPAB","Compensated absence from work due to illness","JOUPANNB","Number of days lost per person per year","SWE","Sweden","2017","2017",11.7,,
"DISACPAB","Compensated absence from work due to illness","JOUPANNB","Number of days lost per person per year","SWE","Sweden","2018","2018",11.3,,
"DISACPAB","Compensated absence from work due to illness","JOUPANNB","Number of days lost per person per year","SWE","Sweden","2019","2019",10.9,,
"DISACPAB","Compensated absence from work due to illness","JOUPANNB","Number of days lost per person per year","SWE","Sweden","2020","2020",10.6,,
"DISASRAB","Self-reported absence from work due to illness","JOUPANNB","Number of days lost per person per year","CHE","Switzerland","2017","2017",9.2,,
"DISASRAB","Self-reported absence from work due to illness","JOUPANNB","Number of days lost per person per year","TUR","Turkey","2016","2016",2.5,,
"DISASRAB","Self-reported absence from work due to illness","JOUPANNB","Number of days lost per person per year","TUR","Turkey","2019","2019",2.9,,
"DISASRAB","Self-reported absence from work due to illness","JOUPANNB","Number of days lost per person per year","GBR","United Kingdom","2016","2016",4.3,,
"DISASRAB","Self-reported absence from work due to illness","JOUPANNB","Number of days lost per person per year","GBR","United Kingdom","2017","2017",4.1,,
"DISASRAB","Self-reported absence from work due to illness","JOUPANNB","Number of days lost per person per year","GBR","United Kingdom","2018","2018",4.4,,
"DISASRAB","Self-reported absence from work due to illness","JOUPANNB","Number of days lost per person per year","GBR","United Kingdom","2019","2019",4.2,,
"DISACPAB","Compensated absence from work due to illness","JOUPANNB","Number of days lost per person per year","GBR","United Kingdom","2016","2016",6.3,"B","Break"
"DISACPAB","Compensated absence from work due to illness","JOUPANNB","Number of days lost per person per year","GBR","United Kingdom","2017","2017",6.6,,
"DISACPAB","Compensated absence from work due to illness","JOUPANNB","Number of days lost per person per year","GBR","United Kingdom","2018","2018",5.9,,
"DISACPAB","Compensated absence from work due to illness","JOUPANNB","Number of days lost per person per year","GBR","United Kingdom","2019","2019",5.8,,
"DISASRAB","Self-reported absence from work due to illness","JOUPANNB","Number of days lost per person per year","USA","United States","2016","2016",3.6,,
"DISASRAB","Self-reported absence from work due to illness","JOUPANNB","Number of days lost per person per year","USA","United States","2017","2017",3.6,,
"DISASRAB","Self-reported absence from work due to illness","JOUPANNB","Number of days lost per person per year","USA","United States","2018","2018",4,,
"DISASRAB","Self-reported absence from work due to illness","JOUPANNB","Number of days lost per person per year","USA","United States","2019","2019",7.4,,
"DISACPAB","Compensated absence from work due to illness","JOUPANNB","Number of days lost per person per year","CHL","Chile","2016","2016",8.3,,
"DISACPAB","Compensated absence from work due to illness","JOUPANNB","Number of days lost per person per year","CHL","Chile","2017","2017",8.7,,
"DISACPAB","Compensated absence from work due to illness","JOUPANNB","Number of days lost per person per year","CHL","Chile","2018","2018",9.8,,
"DISACPAB","Compensated absence from work due to illness","JOUPANNB","Number of days lost per person per year","CHL","Chile","2019","2019",11.2,,
"DISACPAB","Compensated absence from work due to illness","JOUPANNB","Number of days lost per person per year","CHL","Chile","2020","2020",14.5,"B; P","Break; Provisional value"
"DISASRAB","Self-reported absence from work due to illness","JOUPANNB","Number of days lost per person per year","EST","Estonia","2016","2016",7.7,,
"DISASRAB","Self-reported absence from work due to illness","JOUPANNB","Number of days lost per person per year","EST","Estonia","2018","2018",7.1,,
"DISASRAB","Self-reported absence from work due to illness","JOUPANNB","Number of days lost per person per year","EST","Estonia","2020","2020",9.7,,
"DISACPAB","Compensated absence from work due to illness","JOUPANNB","Number of days lost per person per year","EST","Estonia","2016","2016",8.5,,
"DISACPAB","Compensated absence from work due to illness","JOUPANNB","Number of days lost per person per year","EST","Estonia","2017","2017",8.7,,
"DISACPAB","Compensated absence from work due to illness","JOUPANNB","Number of days lost per person per year","EST","Estonia","2018","2018",9,,
"DISACPAB","Compensated absence from work due to illness","JOUPANNB","Number of days lost per person per year","EST","Estonia","2019","2019",9.1,,
"DISASRAB","Self-reported absence from work due to illness","JOUPANNB","Number of days lost per person per year","ISR","Israel","2016","2016",4.3,,
"DISASRAB","Self-reported absence from work due to illness","JOUPANNB","Number of days lost per person per year","ISR","Israel","2017","2017",3.8,,
